sample_name	altitude	altitude_m	anonymized_name	collection_timestamp	country	depth	depth_m	description	diss_org_carb	diss_org_nitro	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	extracted_dna_avail_now	host_subject_id	latitude	latitude_deg	longitude	longitude_deg	ph	ph_meth	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scientific_name	site	title
1036.A.Ac.2.1.s.4.1.sequences	0	0.0	A_Ac_2_1	2009-04-01	GAZ:United States of America	0.3	0.3	soil metagenome A_Ac_2_1	0.82	0.364	True	39.6	593.0	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	tundra biome	permafrost	soil	soil	biome	terrestrial biome	tundra biome	not applicable	not applicable	not applicable	True	A_Ac_2_1	64.49	64.49	-157.75	-157.75	5.56	not provided	LBNL	True	True	Free-living	Non-saline	Soil (non-saline)	1036	soil metagenome	410658	soil	soil metagenome	active layer	Microbial communities of the deep unfrozen: Do microbes in taliks increase permafrost carbon vulnerability?
1036.A.Ac.2.1.s.4.1.sequences.r	0	0.0	A_Ac_2_1	2009-04-01	GAZ:United States of America	0.3	0.3	soil metagenome A_Ac_2_1	0.82	0.364	True	39.6	593.0	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	tundra biome	permafrost	soil	soil	biome	terrestrial biome	tundra biome	not applicable	not applicable	not applicable	True	A_Ac_2_1	64.49	64.49	-157.75	-157.75	5.56	not provided	LBNL	True	True	Free-living	Non-saline	Soil (non-saline)	1036	soil metagenome	410658	soil	soil metagenome	active layer	Microbial communities of the deep unfrozen: Do microbes in taliks increase permafrost carbon vulnerability?
1036.A.Ac.2.2.s.4.1.sequences	0	0.0	A_Ac_2_2	2009-04-01	GAZ:United States of America	0.3	0.3	soil metagenome A_Ac_2_2	0.82	0.364	True	39.6	593.0	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	tundra biome	permafrost	soil	soil	biome	terrestrial biome	tundra biome	not applicable	not applicable	not applicable	True	A_Ac_2_2	64.49	64.49	-157.75	-157.75	5.56	not provided	LBNL	True	True	Free-living	Non-saline	Soil (non-saline)	1036	soil metagenome	410658	soil	soil metagenome	active layer	Microbial communities of the deep unfrozen: Do microbes in taliks increase permafrost carbon vulnerability?
1036.A.Ac.2.2.s.4.1.sequences.r	0	0.0	A_Ac_2_2	2009-04-01	GAZ:United States of America	0.3	0.3	soil metagenome A_Ac_2_2	0.82	0.364	True	39.6	593.0	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	tundra biome	permafrost	soil	soil	biome	terrestrial biome	tundra biome	not applicable	not applicable	not applicable	True	A_Ac_2_2	64.49	64.49	-157.75	-157.75	5.56	not provided	LBNL	True	True	Free-living	Non-saline	Soil (non-saline)	1036	soil metagenome	410658	soil	soil metagenome	active layer	Microbial communities of the deep unfrozen: Do microbes in taliks increase permafrost carbon vulnerability?
1036.A.C.0.1.s.4.1.sequences	0	0.0	A_C_0_1	not applicable	GAZ:United States of America	not provided	not applicable	soil metagenome A_C_0_1	0.82	0.364	True	39.6	not applicable	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	tundra biome	permafrost	soil	soil	biome	terrestrial biome	tundra biome	not applicable	not applicable	not applicable	True	A_C_0_1	64.49	64.49	-157.75	-157.75	5.56	not provided	LBNL	True	True	Free-living	Non-saline	Soil (non-saline)	1036	soil metagenome	410658	soil	soil metagenome	active layer	Microbial communities of the deep unfrozen: Do microbes in taliks increase permafrost carbon vulnerability?
1036.A.C.0.2.s.4.1.sequences	0	0.0	A_C_0_2	not applicable	GAZ:United States of America	not provided	not applicable	soil metagenome A_C_0_2	0.82	0.364	True	39.6	not applicable	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	tundra biome	permafrost	soil	soil	biome	terrestrial biome	tundra biome	not applicable	not applicable	not applicable	True	A_C_0_2	64.49	64.49	-157.75	-157.75	5.56	not provided	LBNL	True	True	Free-living	Non-saline	Soil (non-saline)	1036	soil metagenome	410658	soil	soil metagenome	active layer	Microbial communities of the deep unfrozen: Do microbes in taliks increase permafrost carbon vulnerability?
1036.A.C.2.1.s.4.1.sequences	0	0.0	A_C_2_1	2009-04-01	GAZ:United States of America	0.3	0.3	soil metagenome A_C_2_1	0.82	0.364	True	39.6	593.0	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	tundra biome	permafrost	soil	soil	biome	terrestrial biome	tundra biome	not applicable	not applicable	not applicable	True	A_C_2_1	64.49	64.49	-157.75	-157.75	5.56	not provided	LBNL	True	True	Free-living	Non-saline	Soil (non-saline)	1036	soil metagenome	410658	soil	soil metagenome	active layer	Microbial communities of the deep unfrozen: Do microbes in taliks increase permafrost carbon vulnerability?
1036.A.C.2.1.s.4.1.sequences.r	0	0.0	A_C_2_1	2009-04-01	GAZ:United States of America	0.3	0.3	soil metagenome A_C_2_1	0.82	0.364	True	39.6	593.0	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	tundra biome	permafrost	soil	soil	biome	terrestrial biome	tundra biome	not applicable	not applicable	not applicable	True	A_C_2_1	64.49	64.49	-157.75	-157.75	5.56	not provided	LBNL	True	True	Free-living	Non-saline	Soil (non-saline)	1036	soil metagenome	410658	soil	soil metagenome	active layer	Microbial communities of the deep unfrozen: Do microbes in taliks increase permafrost carbon vulnerability?
1036.A.C.2.2.s.4.1.sequences	0	0.0	A_C_2_2	2009-04-01	GAZ:United States of America	0.3	0.3	soil metagenome A_C_2_2	0.82	0.364	True	39.6	593.0	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	tundra biome	permafrost	soil	soil	biome	terrestrial biome	tundra biome	not applicable	not applicable	not applicable	True	A_C_2_2	64.49	64.49	-157.75	-157.75	5.56	not provided	LBNL	True	True	Free-living	Non-saline	Soil (non-saline)	1036	soil metagenome	410658	soil	soil metagenome	active layer	Microbial communities of the deep unfrozen: Do microbes in taliks increase permafrost carbon vulnerability?
1036.A.C.2.2.s.4.1.sequences.r	0	0.0	A_C_2_2	2009-04-01	GAZ:United States of America	0.3	0.3	soil metagenome A_C_2_2	0.82	0.364	True	39.6	593.0	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	tundra biome	permafrost	soil	soil	biome	terrestrial biome	tundra biome	not applicable	not applicable	not applicable	True	A_C_2_2	64.49	64.49	-157.75	-157.75	5.56	not provided	LBNL	True	True	Free-living	Non-saline	Soil (non-saline)	1036	soil metagenome	410658	soil	soil metagenome	active layer	Microbial communities of the deep unfrozen: Do microbes in taliks increase permafrost carbon vulnerability?
