sample_name	actual_depth	altitude	altitude_m	anonymized_name	beam_transmission	collection_timestamp	conductivity	country	depth	depth_m	description	diss_oxygen	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	extracted_dna_avail_now	fluorescence_seapoint	host_subject_id	latitude	latitude_deg	longitude	longitude_deg	nitrogen_saturation	ph	ph_meth	physical_specimen_location	physical_specimen_remaining	pressure_digiquartz	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	salinity	salinity_psu	samp_store_dur	sample_scientific_name	sample_taxid	sample_type	scientific_name	spar_surface_irradiance	temp	temperature_deg_c	title	Lake
1041.M028.10	10.011	0	0	M028-10	93.7381	5/23/11	0.171732	GAZ:United States of America	10	10	Filtered lake water M028.10	9.25873	TRUE	98.61	98.61	TRUE	EMP sample	Free-living	Non-saline	Water (non-saline)	Large lake biome	freshwater lake	fresh water	water	biome	aquatic biome	freshwater biome	freshwater lake biome	Large lake biome	not applicable	FALSE	6.37	M028.10	43.8	43.8	-86.8	-86.8	16.82088	8.273		"UIC, Prof. Rockne Lab"	TRUE	9.817	TRUE	Free-living	Non-saline	Water (non-saline)	1041	0.1359	0.1359	6 months	freshwater metagenome	449393	fresh water	freshwater metagenome	1390	3.5449	3.5449	Great Lake Microbiome	Michigan
1041.M028.100	100.015	0	0	M028-100	93.9432	5/23/11	0.171613	GAZ:United States of America	100	100	Filtered lake water M028.100	9.26768	TRUE	32.38	32.38	TRUE	EMP sample	Free-living	Non-saline	Water (non-saline)	Large lake biome	freshwater lake	fresh water	water	biome	aquatic biome	freshwater biome	freshwater lake biome	Large lake biome	not applicable	FALSE	8.83	M028.100	43.8	43.8	-86.799	-86.799	16.84238	8.284		"UIC, Prof. Rockne Lab"	TRUE	98.081	TRUE	Free-living	Non-saline	Water (non-saline)	1041	0.1358	0.1358	6 months	freshwater metagenome	449393	fresh water	freshwater metagenome	1360	3.4929	3.4929	Great Lake Microbiome	Michigan
1041.M028.10m.off.bottom	119.004	0	0	M028-10m.off.bottom	93.6869	5/23/11	0.171583	GAZ:United States of America		not applicable	Filtered lake water M028.10m.off.bottom	9.25661	TRUE	12.67	12.67	TRUE	EMP sample	Free-living	Non-saline	Water (non-saline)	Large lake biome	freshwater lake	fresh water	water	biome	aquatic biome	freshwater biome	freshwater lake biome	Large lake biome	not applicable	FALSE	8.9	M028.10m.off.bottom	43.8	43.8	-86.799	-86.799	16.84279	8.279		"UIC, Prof. Rockne Lab"	TRUE	116.703	TRUE	Free-living	Non-saline	Water (non-saline)	1041	0.1357	0.1357	6 months	freshwater metagenome	449393	fresh water	freshwater metagenome	1360	3.4919	3.4919	Great Lake Microbiome	Michigan
1041.M028.20	20.233	0	0	M028-20	93.6869	5/23/11	0.171642	GAZ:United States of America	20	20	Filtered lake water M028.20	9.28539	TRUE	98.58	98.58	TRUE	EMP sample	Free-living	Non-saline	Water (non-saline)	Large lake biome	freshwater lake	fresh water	water	biome	aquatic biome	freshwater biome	freshwater lake biome	Large lake biome	not applicable	FALSE	8.94	M028.20	43.8	43.8	-86.8	-86.8	16.82238	8.293		"UIC, Prof. Rockne Lab"	TRUE	19.841	TRUE	Free-living	Non-saline	Water (non-saline)	1041	0.1358	0.1358	6 months	freshwater metagenome	449393	fresh water	freshwater metagenome	1380	3.5413	3.5413	Great Lake Microbiome	Michigan
1041.M028.2m.off.bottom	127.071	0	0	M028-2m.off.bottom	93.4562	5/23/11	0.171583	GAZ:United States of America		not applicable	Filtered lake water M028.2m.off.bottom	9.25309	TRUE	4.2	4.2	TRUE	EMP sample	Free-living	Non-saline	Water (non-saline)	Large lake biome	freshwater lake	fresh water	water	biome	aquatic biome	freshwater biome	freshwater lake biome	Large lake biome	not applicable	FALSE	8.39	M028.2m.off.bottom	43.8	43.8	-86.799	-86.799	16.84157	8.279		"UIC, Prof. Rockne Lab"	TRUE	124.614	TRUE	Free-living	Non-saline	Water (non-saline)	1041	0.1357	0.1357	6 months	freshwater metagenome	449393	fresh water	freshwater metagenome	1360	3.4949	3.4949	Great Lake Microbiome	Michigan
1041.M028.5	5.091	0	0	M028-5	93.7381	5/23/11	0.171339	GAZ:United States of America	5	5	Filtered lake water M028.5	9.26977	TRUE	98.61	98.61	TRUE	EMP sample	Free-living	Non-saline	Water (non-saline)	Large lake biome	freshwater lake	fresh water	water	biome	aquatic biome	freshwater biome	freshwater lake biome	Large lake biome	not applicable	FALSE	4.07	M028.5	43.8	43.8	-86.8	-86.8	16.82711	8.263		"UIC, Prof. Rockne Lab "	TRUE	4.992	TRUE	Free-living	Non-saline	Water (non-saline)	1041	0.1357	0.1357	6 months	freshwater metagenome	449393	fresh water	freshwater metagenome	1380	3.5298	3.5298	Great Lake Microbiome	Michigan
1041.M028.50	50.013	0	0	M028-50	93.9688	5/23/11	0.171551	GAZ:United States of America	50	50	Filtered lake water M028.50	9.28423	TRUE	84.86	84.86	TRUE	EMP sample	Free-living	Non-saline	Water (non-saline)	Large lake biome	freshwater lake	fresh water	water	biome	aquatic biome	freshwater biome	freshwater lake biome	Large lake biome	not applicable	FALSE	8.24	M028.50	43.8	43.8	-86.8	-86.8	16.84155	8.289		"UIC, Prof. Rockne Lab"	TRUE	49.046	TRUE	Free-living	Non-saline	Water (non-saline)	1041	0.1359	0.1359	6 months	freshwater metagenome	449393	fresh water	freshwater metagenome	1380	3.4949	3.4949	Great Lake Microbiome	Michigan
1041.M041.10	10.086	0	0	M041-10	95.0453	5/24/11	0.172096	GAZ:United States of America	10	10	Filtered lake water M041.10	9.01798	TRUE	98.61	98.61	TRUE	EMP sample	Free-living	Non-saline	Water (non-saline)	Large lake biome	freshwater lake	fresh water	water	biome	aquatic biome	freshwater biome	freshwater lake biome	Large lake biome	not applicable	FALSE	6.26	M041.10	44.737	44.737	-86.721	-86.721	16.80605	8.158		"UIC, Prof. Rockne Lab"	TRUE	9.891	TRUE	Free-living	Non-saline	Water (non-saline)	1041	0.1361	0.1361	6 months	freshwater metagenome	449393	fresh water	freshwater metagenome	1.97	3.5808	3.5808	Great Lake Microbiome	Michigan
1041.M041.100	100.068	0	0	M041-100	95.2248	5/24/11	0.171946	GAZ:United States of America	100	100	Filtered lake water M041.100	9.01286	TRUE	98.61	98.61	TRUE	EMP sample	Free-living	Non-saline	Water (non-saline)	Large lake biome	freshwater lake	fresh water	water	biome	aquatic biome	freshwater biome	freshwater lake biome	Large lake biome	not applicable	FALSE	6.26	M041.100	44.737	44.737	-86.721	-86.721	16.81973	8.203		"UIC, Prof. Rockne Lab"	TRUE	98.133	TRUE	Free-living	Non-saline	Water (non-saline)	1041	0.1359	0.1359	6 months	freshwater metagenome	449393	fresh water	freshwater metagenome	1.97	3.5477	3.5477	Great Lake Microbiome	Michigan
1041.M041.10m.off.bottom	250.051	0	0	M041-10m.off.bottom	95.2248	5/24/11	0.172584	GAZ:United States of America		not applicable	Filtered lake water M041.10m.off.bottom	8.97584	TRUE	8.99	8.99	TRUE	EMP sample	Free-living	Non-saline	Water (non-saline)	Large lake biome	freshwater lake	fresh water	water	biome	aquatic biome	freshwater biome	freshwater lake biome	Large lake biome	not applicable	FALSE	5.82	M041.10m.off.bottom	44.737	44.737	-86.722	-86.722	16.82624	8.218		"UIC, Prof. Rockne Lab"	TRUE	245.216	TRUE	Free-living	Non-saline	Water (non-saline)	1041	0.1361	0.1361	6 months	freshwater metagenome	449393	fresh water	freshwater metagenome	1.97	3.5318	3.5318	Great Lake Microbiome	Michigan
