,0
1041.S114.10,74534.0
1041.S019.150,74047.0
1041.S001.2m.off.bottom,73807.0
1041.S008.150,72532.0
1041.S114.20,65847.0
1041.S008.20,65374.0
1041.S114.150,64987.0
1041.S008.2m.off.bottom,64007.0
1041.M028.5,62342.0
1041.S019.5,61869.0
1041.S019.50,61811.0
1041.S001.50,60940.0
1041.S114.100,58612.0
1041.S008.200,58485.0
1041.M028.2m.off.bottom,58437.0
1041.S114.200,57833.0
1041.S008.100,57188.0
1041.M028.100,56972.0
1041.S008.10m.off.bottom,55683.0
1041.S114.365,55038.0
1041.S114.5,55037.0
1041.S019.2m.off.bottom,54052.0
1041.S114.300,53557.0
1041.M028.50,52553.0
1041.S008.5,52186.0
1041.S019.10m.off.bottom,51876.0
1041.S019.100,51237.0
1041.M028.10,50804.0
1041.S019.20,50144.0
1041.S114.250,48760.0
1041.S114.50,48466.0
1041.S001.10m.off.bottom,46965.0
1041.M028.20,46033.0
1041.S001.5,44610.0
1041.M028.10m.off.bottom,42901.0
1041.S008.10,41664.0
1041.S008.50,36665.0
1041.M041.5,31669.0
1041.M041.20,30769.0
1041.M041.10m.off.bottom,28402.0
1041.S019.10,28371.0
1041.M041.10,27367.0
1041.M041.200,26439.0
1041.M041.2m.off.bottom,25901.0
1041.M041.150,25107.0
1041.M041.100,24177.0
1041.M041.50,19490.0
1041.S001.10,17216.0
1041.S001.20,9840.0
